Day;Month;Year;Start;Low;High;End
5;3;2018;3.8074;3.8038;3.8296;3.8084
6;3;2018;3.8078;3.7827;3.8131;3.7942
7;3;2018;3.7929;3.7876;3.8098;3.8027
8;3;2018;3.7994;3.7977;3.8285;3.8236
9;3;2018;3.8238;3.8;3.829;3.8111
12;3;2018;3.8102;3.8037;3.8525;3.8438
13;3;2018;3.8439;3.8325;3.8754;3.8733
14;3;2018;3.8731;3.8524;3.8954;3.8796
15;3;2018;3.8791;3.8721;3.907;3.8956
16;3;2018;3.8955;3.8875;3.9266;3.9196
19;3;2018;3.9119;3.9119;3.9546;3.9362
20;3;2018;3.9356;3.918;3.9535;3.9339
21;3;2018;3.935;3.9062;3.9407;3.9085
22;3;2018;3.9097;3.8969;3.9458;3.9343
23;3;2018;3.9311;3.9311;4.0356;3.9824
26;3;2018;3.9803;3.9524;3.9963;3.9657
27;3;2018;3.9657;3.9579;3.9981;3.9819
28;3;2018;3.9822;3.9772;4.0169;4.0103
29;3;2018;4.008;3.9325;4.0163;3.9422
30;3;2018;3.9426;3.937;3.9613;3.9552
2;4;2018;3.9542;3.9496;3.9808;3.9735
3;4;2018;3.9719;3.967;3.995;3.9887
4;4;2018;3.9894;3.9832;4.029;3.9991
5;4;2018;3.997;3.9942;4.0538;4.0515
6;4;2018;4.0531;4.0263;4.068;4.0449
9;4;2018;4.041;4.0315;4.0761;4.0737
10;4;2018;4.0715;4.053;4.1393;4.1121
11;4;2018;4.112;4.1067;4.195;4.136
12;4;2018;4.1308;4.0813;4.1615;4.1102
13;4;2018;4.1097;4.065;4.1173;4.0969
16;4;2018;4.0984;4.0865;4.1213;4.0963
17;4;2018;4.0967;4.0697;4.1266;4.0976
18;4;2018;4.0941;4.0037;4.1086;4.0086
19;4;2018;4.0078;4.0055;4.05;4.0403
20;4;2018;4.0398;4.0225;4.079;4.0766
23;4;2018;4.0766;4.0614;4.111;4.1079
24;4;2018;4.1077;4.0775;4.1144;4.086
25;4;2018;4.0866;4.0325;4.1116;4.0809
26;4;2018;4.0813;4.0545;4.0863;4.0664
27;4;2018;4.0659;4.035;4.08;4.0422
30;4;2018;4.0441;4.0245;4.074;4.0617
1;5;2018;4.061;4.053;4.1254;4.103
2;5;2018;4.1028;4.0886;4.1876;4.1771
3;5;2018;4.1772;4.1522;4.245;4.2131
4;5;2018;4.2153;4.2137;4.2921;4.226
7;5;2018;4.226;4.221;4.2729;4.2669
8;5;2018;4.2664;4.2565;4.3382;4.3327
9;5;2018;4.329;4.251;4.3746;4.2876
10;5;2018;4.2871;4.2197;4.3084;4.2352
11;5;2018;4.2347;4.2261;4.318;4.3136
14;5;2018;4.3139;4.3;4.3714;4.3674
15;5;2018;4.3689;4.347;4.477;4.445
16;5;2018;4.443;4.39;4.5015;4.4139
17;5;2018;4.411;4.4095;4.4674;4.4606
18;5;2018;4.457;4.4365;4.506;4.4917
21;5;2018;4.4902;4.4864;4.6;4.5749
22;5;2018;4.5744;4.5375;4.6738;4.6691
23;5;2018;4.666;4.5395;4.9241;4.5762
24;5;2018;4.5763;4.538;4.8032;4.7073
25;5;2018;4.709;4.6818;4.803;4.7081
27;5;2018;4.7171;4.6986;4.7178;4.7055
28;5;2018;4.713;4.5495;4.7214;4.5822
29;5;2018;4.577;4.528;4.6358;4.5488
