Day;Month;Year;Start;Low;High;End
1;3;2019;5.3371;5.3265;5.4054;5.3742
3;3;2019;5.3741;5.3663;5.3763;5.3725
4;3;2019;5.3777;5.3632;5.404;5.3769
5;3;2019;5.3718;5.3593;5.4038;5.387
6;3;2019;5.3868;5.3585;5.4474;5.4288
7;3;2019;5.4267;5.417;5.481;5.4712
8;3;2019;5.4741;5.42;5.4917;5.4303
10;3;2019;5.4394;5.4275;5.4471;5.4338
11;3;2019;5.427;5.421;5.4616;5.4455
12;3;2019;5.4442;5.4215;5.4672;5.4572
13;3;2019;5.4563;5.445;5.4812;5.4564
14;3;2019;5.4573;5.4538;5.4771;5.4671
15;3;2019;5.4656;5.4398;5.4768;5.4467
17;3;2019;5.4466;5.4461;5.4517;5.449
18;3;2019;5.448;5.4427;5.4748;5.4683
19;3;2019;5.4669;5.4515;5.4884;5.4764
20;3;2019;5.476;5.4082;5.4859;5.4208
21;3;2019;5.4245;5.4205;5.4813;5.4652
22;3;2019;5.4654;5.447;5.845;5.7627
24;3;2019;5.763;5.6238;5.7726;5.693
25;3;2019;5.7631;5.5412;5.7726;5.5503
26;3;2019;5.5469;5.2992;5.5936;5.3279
27;3;2019;5.3374;5.269;5.4654;5.3278
28;3;2019;5.3462;5.3452;5.6275;5.561
29;3;2019;5.5726;5.5535;5.6822;5.5555
31;3;2019;5.5861;5.5795;5.5956;5.5919
1;4;2019;5.5565;5.4085;5.704;5.4863
2;4;2019;5.5175;5.5129;5.68;5.6179
